Name,Latitude,Longitude
ALBIZZI,43.7715737,11.2602966
ALDOBRANDINI,43.77456285,11.25254912
ALTOVITI,43.77237665,11.25296425
BARONCELLI,43.769083,11.255021
DALL'ANTELLA,43.768830,11.261096
DAVANZATI,43.770437,11.252856
GINORI,43.776129,11.256488
GUADAGNI,43.766276,11.247638
GUICCIARDINI,43.766608,11.251115
LAMBERTESCHI,43.768925,11.254698
MEDICI,43.7752546,11.25567618
ORLANDINI,43.773039,11.253324
PANCIATICHI,43.775109,11.256926
PERUZZI,43.766831,11.248748
RONDINELLI,43.773348,11.252476
RUSCELLAI,43.771374,11.249532
STROZZI,43.771505,11.251736
TORNABUONI,43.771900,11.251639
VALORI,43.771680,11.259573